Rank,Full Journal Title,JCR Abbreviated Title,Journal Impact Factor,Immediacy Index
1,CA-A CANCER JOURNAL FOR CLINICIANS,CA-CANCER J CLIN,94.333,8.667
2,ACTA CRYSTALLOGRAPHICA SECTION A,ACTA CRYSTALLOGR A,54.333,0.629
3,NEW ENGLAND JOURNAL OF MEDICINE,NEW ENGL J MED,53.486,10.675
4,REVIEWS OF MODERN PHYSICS,REV MOD PHYS,51.695,8.219
5,Annual Review of Immunology,ANNU REV IMMUNOL,49.271,7.682
6,NATURE REVIEWS MOLECULAR CELL BIOLOGY,NAT REV MOL CELL BIO,38.65,6.4
7,NATURE REVIEWS CANCER,NAT REV CANCER,37.184,6.423
8,NATURE GENETICS,NAT GENET,36.377,7.242
9,NATURE,NATURE,36.104,8.792
10,NATURE REVIEWS IMMUNOLOGY,NAT REV IMMUNOL,35.196,5.571
11,LANCET,LANCET,33.633,10.852
12,CHEMICAL REVIEWS,CHEM REV,33.036,8.362
13,NATURE REVIEWS GENETICS,NAT REV GENET,32.745,8.62
14,CELL,CELL,32.406,6.661
15,SCIENCE,SCIENCE,31.377,6.794
16,NATURE BIOTECHNOLOGY,NAT BIOTECHNOL,31.09,5.342
17,Nature Nanotechnology,NAT NANOTECHNOL,30.324,5.608
18,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,JAMA-J AM MED ASSOC,30.011,7.227
19,NATURE MATERIALS,NAT MATER,29.92,7.584
20,Annual Review of Biochemistry,ANNU REV BIOCHEM,29.742,5.464
21,NATURE REVIEWS NEUROSCIENCE,NAT REV NEUROSCI,29.51,4.8
22,NATURE REVIEWS DRUG DISCOVERY,NAT REV DRUG DISCOV,28.712,5.493
23,PHYSIOLOGICAL REVIEWS,PHYSIOL REV,28.417,3.914
24,Annual Review of Plant Biology,ANNU REV PLANT BIOL,28.415,4.862
25,Annual Review of Astronomy and Astrophysics,ANNU REV ASTRON ASTR,27.444,1.765
26,CANCER CELL,CANCER CELL,26.925,5.774
27,Annual Review of Neuroscience,ANNU REV NEUROSCI,26.756,2.35
28,CHEMICAL SOCIETY REVIEWS,CHEM SOC REV,26.585,4.128
29,Nature Photonics,NAT PHOTONICS,26.506,6.171
30,Cell Stem Cell,CELL STEM CELL,25.943,4.74
31,NATURE IMMUNOLOGY,NAT IMMUNOL,25.668,6.643
32,NATURE MEDICINE,NAT MED,25.43,5.377
33,IMMUNITY,IMMUNITY,24.221,4.446
34,PROGRESS IN POLYMER SCIENCE,PROG POLYM SCI,22.87,3.426
35,ENDOCRINE REVIEWS,ENDOCR REV,22.469,3.107
36,BEHAVIORAL AND BRAIN SCIENCES,BEHAV BRAIN SCI,21.952,3.667
36,BEHAVIORAL AND BRAIN SCIENCES,BEHAV BRAIN SCI,21.952,3.667
38,ACCOUNTS OF CHEMICAL RESEARCH,ACCOUNTS CHEM RES,21.852,3.235
39,Annual Review of Genetics,ANNU REV GENET,21.774,0.421
40,LANCET NEUROLOGY,LANCET NEUROL,21.659,5.83
41,ADVANCES IN PHYSICS,ADV PHYS,21.214,5.625
42,NATURE METHODS,NAT METHODS,20.721,4.268
43,NATURE REVIEWS MICROBIOLOGY,NAT REV MICROBIOL,20.686,3.688
44,MATERIALS SCIENCE & ENGINEERING R-REPORTS,MAT SCI ENG R,19.75,0.552
45,PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,PHYS REP,19.438,5.314
46,NATURE CELL BIOLOGY,NAT CELL BIOL,19.407,5.562
47,ANNUAL REVIEW OF PHARMACOLOGY AND TOXICOLOGY,ANNU REV PHARMACOL,19.238,7
48,JOURNAL OF CLINICAL ONCOLOGY,J CLIN ONCOL,18.97,4.841
49,PHARMACOLOGICAL REVIEWS,PHARMACOL REV,18.861,2.318
50,Annual Review of Pathology-Mechanisms of Disease,ANNU REV PATHOL-MECH,18.778,8.615
51,SURFACE SCIENCE REPORTS,SURF SCI REP,18.593,1
52,Nature Physics,NAT PHYS,18.43,5.228
53,ANNUAL REVIEW OF PSYCHOLOGY,ANNU REV PSYCHOL,18.288,4.077
53,ANNUAL REVIEW OF PSYCHOLOGY,ANNU REV PSYCHOL,18.288,4.077
55,Cell Metabolism,CELL METAB,18.207,2.755
56,Nature Chemistry,NAT CHEM,17.927,3.951
57,LANCET ONCOLOGY,LANCET ONCOL,17.764,6.556
58,Annual Review of Biophysics,ANNU REV BIOPHYS,17.524,2.536
59,Annual Review of Genomics and Human Genetics,ANNU REV GENOM HUM G,17.182,0.389
60,ANNALS OF INTERNAL MEDICINE,ANN INTERN MED,16.729,3.94
61,PROGRESS IN MATERIALS SCIENCE,PROG MATER SCI,16.658,3.462
62,LANCET INFECTIOUS DISEASES,LANCET INFECT DIS,16.144,3.444
63,ANNUAL REVIEW OF PHYSIOLOGY,ANNU REV PHYSIOL,16.106,5.036
64,Nature Chemical Biology,NAT CHEM BIOL,15.808,3.352
65,PLOS MEDICINE,PLOS MED,15.617,3.394
66,MOLECULAR PSYCHIATRY,MOL PSYCHIATR,15.47,3.248
67,ASTRONOMY AND ASTROPHYSICS REVIEW,ASTRON ASTROPHYS REV,15.438,3.636
68,ECOLOGY LETTERS,ECOL LETT,15.253,2.481
69,ASTROPHYSICAL JOURNAL SUPPLEMENT SERIES,ASTROPHYS J SUPPL S,15.206,2.528
70,Annual Review of Marine Science,ANNU REV MAR SCI,15,4.294
71,JOURNAL OF EXPERIMENTAL MEDICINE,J EXP MED,14.776,3.041
72,JOURNAL OF THE NATIONAL CANCER INSTITUTE,J NATL CANCER I,14.697,3.222
73,TRENDS IN ECOLOGY & EVOLUTION,TRENDS ECOL EVOL,14.448,2.987
74,CIRCULATION,CIRCULATION,14.432,2.812
75,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,J AM COLL CARDIOL,14.293,2.947
76,MOLECULAR CELL,MOL CELL,14.194,3.01
77,NATURE NEUROSCIENCE,NAT NEUROSCI,14.191,3.202
78,JOURNAL OF CLINICAL INVESTIGATION,J CLIN INVEST,14.152,2.514
79,Annual Review of Cell and Developmental Biology,ANNU REV CELL DEV BI,14.078,0.714
80,NEURON,NEURON,14.027,2.579
81,DEVELOPMENTAL CELL,DEV CELL,13.946,2.677
82,REPORTS ON PROGRESS IN PHYSICS,REP PROG PHYS,13.857,2.587
83,Cell Host & Microbe,CELL HOST MICROBE,13.728,2.438
84,NATURE STRUCTURAL & MOLECULAR BIOLOGY,NAT STRUCT MOL BIOL,13.685,2.967
85,GENOME RESEARCH,GENOME RES,13.588,3.176
86,ADVANCED DRUG DELIVERY REVIEWS,ADV DRUG DELIVER REV,13.577,2.248
87,CURRENT OPINION IN CELL BIOLOGY,CURR OPIN CELL BIOL,13.54,1.886
88,CLINICAL MICROBIOLOGY REVIEWS,CLIN MICROBIOL REV,13.5,3.029
89,BRITISH MEDICAL JOURNAL,BRIT MED J,13.471,6.779
90,IMMUNOLOGICAL REVIEWS,IMMUNOL REV,13.462,2.964
91,Journal of Molecular Cell Biology,J MOL CELL BIOL,13.4,1.25
92,TRENDS IN NEUROSCIENCES,TRENDS NEUROSCI,13.32,2.339
93,GENES & DEVELOPMENT,GENE DEV,12.889,2.386
94,AMERICAN JOURNAL OF PSYCHIATRY,AM J PSYCHIAT,12.759,2.571
94,AMERICAN JOURNAL OF PSYCHIATRY,AM J PSYCHIAT,12.759,2.571
96,FRONTIERS IN NEUROENDOCRINOLOGY,FRONT NEUROENDOCRIN,12.75,1.912
97,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,ANGEW CHEM INT EDIT,12.73,2.409
98,Living Reviews in Relativity,LIVING REV RELATIV,12.625,5.143
99,PLOS BIOLOGY,PLOS BIOL,12.472,2.706
100,ANNUAL REVIEW OF MEDICINE,ANNU REV MED,12.457,5.226
