Rank,Full Journal Title,JCR Abbreviated Title,Journal Impact Factor,Immediacy Index
1,CA-A CANCER JOURNAL FOR CLINICIANS,CA-CANCER J CLIN,162.5,27.76
2,NEW ENGLAND JOURNAL OF MEDICINE,NEW ENGL J MED,54.42,14.747
3,CHEMICAL REVIEWS,CHEM REV,45.661,7.101
4,REVIEWS OF MODERN PHYSICS,REV MOD PHYS,42.86,8.333
5,NATURE,NATURE,42.351,8.457
6,Annual Review of Immunology,ANNU REV IMMUNOL,41.392,9.833
7,NATURE REVIEWS GENETICS,NAT REV GENET,39.794,6.191
8,LANCET,LANCET,39.207,12.649
9,NATURE BIOTECHNOLOGY,NAT BIOTECHNOL,39.08,12.043
10,NATURE REVIEWS CANCER,NAT REV CANCER,37.912,4.818
11,NATURE REVIEWS DRUG DISCOVERY,NAT REV DRUG DISCOV,37.231,6.205
12,NATURE REVIEWS MOLECULAR CELL BIOLOGY,NAT REV MOL CELL BIO,36.458,6.312
13,NATURE MATERIALS,NAT MATER,36.425,7.172
14,NATURE REVIEWS IMMUNOLOGY,NAT REV IMMUNOL,33.836,7.123
15,Nature Nanotechnology,NAT NANOTECHNOL,33.265,6.133
16,CELL,CELL,33.116,6.75
17,SCIENCE,SCIENCE,31.477,8.568
18,NATURE REVIEWS NEUROSCIENCE,NAT REV NEUROSCI,31.376,6.161
19,CHEMICAL SOCIETY REVIEWS,CHEM SOC REV,30.425,7.424
20,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,JAMA-J AM MED ASSOC,30.387,8.462
21,Nature Photonics,NAT PHOTONICS,29.958,5.59
22,NATURE GENETICS,NAT GENET,29.648,6.575
23,PHYSIOLOGICAL REVIEWS,PHYSIOL REV,29.041,4.486
24,NATURE MEDICINE,NAT MED,28.054,5.817
25,PROGRESS IN POLYMER SCIENCE,PROG POLYM SCI,26.854,4
26,Annual Review of Biochemistry,ANNU REV BIOCHEM,26.534,3.25
27,NATURE METHODS,NAT METHODS,25.953,4.755
28,PROGRESS IN MATERIALS SCIENCE,PROG MATER SCI,25.87,4.92
29,NATURE IMMUNOLOGY,NAT IMMUNOL,24.973,4.507
30,LANCET ONCOLOGY,LANCET ONCOL,24.725,5.325
31,SURFACE SCIENCE REPORTS,SURF SCI REP,24.562,1
32,ACCOUNTS OF CHEMICAL RESEARCH,ACCOUNTS CHEM RES,24.348,5.201
33,Annual Review of Astronomy and Astrophysics,ANNU REV ASTRON ASTR,24.037,4
34,CANCER CELL,CANCER CELL,23.893,4.981
35,NATURE REVIEWS MICROBIOLOGY,NAT REV MICROBIOL,23.317,5.069
36,Nature Chemistry,NAT CHEM,23.297,6.713
37,PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,PHYS REP,22.91,4.146
38,Annual Review of Neuroscience,ANNU REV NEUROSCI,22.66,1.542
39,Cell Stem Cell,CELL STEM CELL,22.151,5.956
40,Annual Review of Pathology-Mechanisms of Disease,ANNU REV PATHOL-MECH,22.128,5.778
41,LANCET NEUROLOGY,LANCET NEUROL,21.823,5.817
42,TRENDS IN COGNITIVE SCIENCES,TRENDS COGN SCI,21.147,2.983
42,TRENDS IN COGNITIVE SCIENCES,TRENDS COGN SCI,21.147,2.983
44,Nature Physics,NAT PHYS,20.603,5.254
45,Annual Review of Psychology,ANNU REV PSYCHOL,20.533,4.65
45,Annual Review of Psychology,ANNU REV PSYCHOL,20.533,4.65
47,Annual Review of Cell and Developmental Biology,ANNU REV CELL DEV BI,20.241,0.864
48,NATURE CELL BIOLOGY,NAT CELL BIOL,20.058,4.295
49,IMMUNITY,IMMUNITY,19.748,4.978
50,LANCET INFECTIOUS DISEASES,LANCET INFECT DIS,19.446,6.845
51,ENDOCRINE REVIEWS,ENDOCR REV,19.358,3.4
52,Annual Review of Plant Biology,ANNU REV PLANT BIOL,18.9,3.636
53,PHARMACOLOGICAL REVIEWS,PHARMACOL REV,18.551,3.314
54,Annual Review of Pharmacology and Toxicology,ANNU REV PHARMACOL,18.523,6.731
55,Nano Today,NANO TODAY,18.432,1.268
56,Annual Review of Genetics,ANNU REV GENET,18.115,0.231
57,ADVANCES IN PHYSICS,ADV PHYS,18.062,8
58,JOURNAL OF CLINICAL ONCOLOGY,J CLIN ONCOL,17.96,4.702
59,Alzheimers & Dementia,ALZHEIMERS DEMENT,17.472,2.373
60,PROGRESS IN ENERGY AND COMBUSTION SCIENCE,PROG ENERG COMBUST,16.909,2.3
61,Cell Metabolism,CELL METAB,16.747,3.052
62,Living Reviews in Relativity,LIVING REV RELATIV,16.526,7.444
63,Annual Review of Marine Science,ANNU REV MAR SCI,16.381,3.875
64,BMJ-British Medical Journal,BMJ-BRIT MED J,16.378,9.845
65,ALDRICHIMICA ACTA,ALDRICHIM ACTA,16.333,0.833
