Rank,Full Journal Title,JCR Abbreviated Title,Journal Impact Factor,Immediacy Index
1,CA-A CANCER JOURNAL FOR CLINICIANS,CA-CANCER J CLIN,101.78,21.263
2,NEW ENGLAND JOURNAL OF MEDICINE,NEW ENGL J MED,53.298,11.484
3,Annual Review of Immunology,ANNU REV IMMUNOL,52.761,9.174
4,REVIEWS OF MODERN PHYSICS,REV MOD PHYS,43.933,10.026
5,CHEMICAL REVIEWS,CHEM REV,40.197,7.158
6,NATURE REVIEWS MOLECULAR CELL BIOLOGY,NAT REV MOL CELL BIO,39.123,6.5
7,LANCET,LANCET,38.278,10.576
8,NATURE REVIEWS GENETICS,NAT REV GENET,38.075,7.014
9,NATURE REVIEWS CANCER,NAT REV CANCER,37.545,4.838
10,ADVANCES IN PHYSICS,ADV PHYS,37,3.778
11,NATURE,NATURE,36.28,9.69
12,NATURE GENETICS,NAT GENET,35.532,6.357
13,Annual Review of Biochemistry,ANNU REV BIOCHEM,34.317,2.951
14,NATURE REVIEWS IMMUNOLOGY,NAT REV IMMUNOL,33.287,5.116
15,NATURE MATERIALS,NAT MATER,32.841,6.246
16,CELL,CELL,32.403,6.382
17,Energy Education Science and Technology,ENERGY EDUC SCI TECH,31.677,5.46
18,SCIENCE,SCIENCE,31.201,6.075
19,NATURE REVIEWS NEUROSCIENCE,NAT REV NEUROSCI,30.445,5.085
20,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,JAMA-J AM MED ASSOC,30.026,6.927
21,Nature Photonics,NAT PHOTONICS,29.278,5.031
22,NATURE REVIEWS DRUG DISCOVERY,NAT REV DRUG DISCOV,29.008,5.59
23,CHEMICAL SOCIETY REVIEWS,CHEM SOC REV,28.76,5.471
24,Nature Nanotechnology,NAT NANOTECHNOL,27.27,5.496
25,PHYSIOLOGICAL REVIEWS,PHYSIOL REV,26.866,4.559
26,CANCER CELL,CANCER CELL,26.566,5.045
27,Annual Review of Astronomy and Astrophysics,ANNU REV ASTRON ASTR,26.452,2
28,NATURE IMMUNOLOGY,NAT IMMUNOL,26.008,5.856
29,Annual Review of Plant Biology,ANNU REV PLANT BIOL,25.962,2.783
30,Annual Review of Neuroscience,ANNU REV NEUROSCI,25.737,2.458
31,Cell Stem Cell,CELL STEM CELL,25.421,6.646
32,BEHAVIORAL AND BRAIN SCIENCES,BEHAV BRAIN SCI,25.056,3.714
32,BEHAVIORAL AND BRAIN SCIENCES,BEHAV BRAIN SCI,25.056,3.714
34,PROGRESS IN POLYMER SCIENCE,PROG POLYM SCI,24.1,3.191
35,LANCET NEUROLOGY,LANCET NEUROL,23.462,5.07
36,NATURE BIOTECHNOLOGY,NAT BIOTECHNOL,23.268,7.464
37,LANCET ONCOLOGY,LANCET ONCOL,22.589,4.848
38,NATURE MEDICINE,NAT MED,22.462,5.15
39,Annual Review of Genetics,ANNU REV GENET,22.233,0.2
40,ACCOUNTS OF CHEMICAL RESEARCH,ACCOUNTS CHEM RES,21.64,3.46
41,Annual Review of Pharmacology and Toxicology,ANNU REV PHARMACOL,21.639,6.278
42,IMMUNITY,IMMUNITY,21.637,4.047
43,NATURE REVIEWS MICROBIOLOGY,NAT REV MICROBIOL,21.182,3.729
44,Annual Review of Physiology,ANNU REV PHYSIOL,20.827,3.6
45,Nature Chemistry,NAT CHEM,20.524,5.308
46,PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,PHYS REP,20.394,4.6
47,PHARMACOLOGICAL REVIEWS,PHARMACOL REV,20.225,3
48,Annual Review of Pathology-Mechanisms of Disease,ANNU REV PATHOL-MECH,20,5.476
49,ENDOCRINE REVIEWS,ENDOCR REV,19.929,2.963
50,NATURE CELL BIOLOGY,NAT CELL BIOL,19.488,4.912
51,NATURE METHODS,NAT METHODS,19.276,5.133
52,Nature Physics,NAT PHYS,18.967,5.767
53,JOURNAL OF CLINICAL ONCOLOGY,J CLIN ONCOL,18.372,4.217
54,PROGRESS IN MATERIALS SCIENCE,PROG MATER SCI,18.216,5
55,ECOLOGY LETTERS,ECOL LETT,17.557,2.351
56,Living Reviews in Relativity,LIVING REV RELATIV,17.462,2.25
57,LANCET INFECTIOUS DISEASES,LANCET INFECT DIS,17.391,5.61
58,Annual Review of Psychology,ANNU REV PSYCHOL,16.833,3.348
58,Annual Review of Psychology,ANNU REV PSYCHOL,16.833,3.348
60,ANNALS OF INTERNAL MEDICINE,ANN INTERN MED,16.733,3.538
61,Annual Review of Marine Science,ANNU REV MAR SCI,16.457,3.571
62,PLOS MEDICINE,PLOS MED,16.269,4.357
63,CLINICAL MICROBIOLOGY REVIEWS,CLIN MICROBIOL REV,16.129,1.875
64,ALDRICHIMICA ACTA,ALDRICHIM ACTA,16.091,7
65,Annual Review of Cell and Developmental Biology,ANNU REV CELL DEV BI,15.836,0.733
66,TRENDS IN ECOLOGY & EVOLUTION,TRENDS ECOL EVOL,15.748,2.514
67,NATURE NEUROSCIENCE,NAT NEUROSCI,15.531,3.54
68,Nano Today,NANO TODAY,15.355,2.324
69,MATERIALS SCIENCE & ENGINEERING R-REPORTS,MAT SCI ENG R,14.951,1.75
70,Annual Review of Genomics and Human Genetics,ANNU REV GENOM HUM G,14.829,0.5
71,CIRCULATION,CIRCULATION,14.739,3.041
72,NEURON,NEURON,14.736,3.052
73,REPORTS ON PROGRESS IN PHYSICS,REP PROG PHYS,14.72,1.679
74,Nature Chemical Biology,NAT CHEM BIOL,14.69,3.105
75,PSYCHOLOGICAL BULLETIN,PSYCHOL BULL,14.457,1.683
75,PSYCHOLOGICAL BULLETIN,PSYCHOL BULL,14.457,1.683
77,Annual Review of Ecology Evolution and Systematics,ANNU REV ECOL EVOL S,14.373,0.227
78,Annual Review of Microbiology,ANNU REV MICROBIOL,14.345,0.452
79,TRENDS IN NEUROSCIENCES,TRENDS NEUROSCI,14.235,1.95
80,PROGRESS IN ENERGY AND COMBUSTION SCIENCE,PROG ENERG COMBUST,14.22,2.88
81,MOLECULAR CELL,MOL CELL,14.178,2.875
82,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,J AM COLL CARDIOL,14.156,3.257
83,Annual Review of Physical Chemistry,ANNU REV PHYS CHEM,14.13,3.267
84,BRITISH MEDICAL JOURNAL,BRIT MED J,14.093,7.992
85,DEVELOPMENTAL CELL,DEV CELL,14.03,2.448
86,ADVANCED MATERIALS,ADV MATER,13.877,2.155
87,JOURNAL OF EXPERIMENTAL MEDICINE,J EXP MED,13.853,3.073
88,JOURNAL OF THE NATIONAL CANCER INSTITUTE,J NATL CANCER I,13.757,3.308
89,Cell Metabolism,CELL METAB,13.668,2.624
89,MOLECULAR PSYCHIATRY,MOL PSYCHIATR,13.668,3.676
91,GENOME RESEARCH,GENOME RES,13.608,2.548
92,Annual Review of Biophysics,ANNU REV BIOPHYS,13.574,2.667
93,Cell Host & Microbe,CELL HOST MICROBE,13.5,2.274
94,ASTROPHYSICAL JOURNAL SUPPLEMENT SERIES,ASTROPHYS J SUPPL S,13.456,8.995
95,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,ANGEW CHEM INT EDIT,13.455,2.898
96,NANO LETTERS,NANO LETT,13.198,2.082
97,Annual Review of Medicine,ANNU REV MED,13.104,3.844
98,Annual Review of Materials Research,ANNU REV MATER RES,13.073,1.353
99,JOURNAL OF CLINICAL INVESTIGATION,J CLIN INVEST,13.069,2.694
100,MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS,MICROBIOL MOL BIOL R,13.018,2.227
101,CURRENT OPINION IN CELL BIOLOGY,CURR OPIN CELL BIOL,12.897,1.648
102,Annual Review of Fluid Mechanics,ANNU REV FLUID MECH,12.767,2.963
103,NATURE STRUCTURAL & MOLECULAR BIOLOGY,NAT STRUCT MOL BIOL,12.712,2.885
104,ACTA CRYSTALLOGRAPHICA SECTION D-BIOLOGICAL CRYSTALLOGRAPHY,ACTA CRYSTALLOGR D,12.619,3.347
105,TRENDS IN COGNITIVE SCIENCES,TRENDS COGN SCI,12.586,2.468
105,TRENDS IN COGNITIVE SCIENCES,TRENDS COGN SCI,12.586,2.468
107,AMERICAN JOURNAL OF PSYCHIATRY,AM J PSYCHIAT,12.539,3.583
107,AMERICAN JOURNAL OF PSYCHIATRY,AM J PSYCHIAT,12.539,3.583
109,Living Reviews in Solar Physics,LIVING REV SOL PHYS,12.5,0.667
110,Nature Reviews Neurology,NAT REV NEUROL,12.461,1.909
111,Annual Review of Condensed Matter Physics,ANNU REV CONDEN MA P,12.389,3.889
112,REVIEWS OF GEOPHYSICS,REV GEOPHYS,12.364,1.6
113,TRENDS IN CELL BIOLOGY,TRENDS CELL BIOL,12.354,2.565
114,Annual Review of Biomedical Engineering,ANNU REV BIOMED ENG,12.214,0.619
115,COORDINATION CHEMISTRY REVIEWS,COORDIN CHEM REV,12.11,2.179
116,ARCHIVES OF GENERAL PSYCHIATRY,ARCH GEN PSYCHIAT,12.016,2.202
116,ARCHIVES OF GENERAL PSYCHIATRY,ARCH GEN PSYCHIAT,12.016,2.202
118,Nature Reviews Clinical Oncology,NAT REV CLIN ONCOL,11.963,3.477
119,Nature Geoscience,NAT GEOSCI,11.754,2.286
120,SURFACE SCIENCE REPORTS,SURF SCI REP,11.696,3.25
121,GASTROENTEROLOGY,GASTROENTEROLOGY,11.675,2.995
122,HEPATOLOGY,HEPATOLOGY,11.665,2.455
123,GENES & DEVELOPMENT,GENE DEV,11.659,2.703
124,ASTRONOMY AND ASTROPHYSICS REVIEW,ASTRON ASTROPHYS REV,11.526,0.375
125,ADVANCED DRUG DELIVERY REVIEWS,ADV DRUG DELIVER REV,11.502,1.554
126,ARCHIVES OF INTERNAL MEDICINE,ARCH INTERN MED,11.462,3.363
127,Annual Review of Entomology,ANNU REV ENTOMOL,11.455,5.16
128,PLOS BIOLOGY,PLOS BIOL,11.452,2.461
129,FRONTIERS IN NEUROENDOCRINOLOGY,FRONT NEUROENDOCRIN,11.429,1.515
130,ACS Nano,ACS NANO,11.421,1.631
131,IMMUNOLOGICAL REVIEWS,IMMUNOL REV,11.148,2.959
132,ANNALS OF NEUROLOGY,ANN NEUROL,11.089,2.615
133,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,AM J RESP CRIT CARE,11.08,2.631
134,TRENDS IN PLANT SCIENCE,TRENDS PLANT SCI,11.047,1.964
135,JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,J ALLERGY CLIN IMMUN,11.003,3.072
136,FEMS MICROBIOLOGY REVIEWS,FEMS MICROBIOL REV,10.96,2.978
137,TRENDS IN PHARMACOLOGICAL SCIENCES,TRENDS PHARMACOL SCI,10.927,1.828
138,TRENDS IN BIOCHEMICAL SCIENCES,TRENDS BIOCHEM SCI,10.847,2.892
139,Pain Physician,PAIN PHYSICIAN,10.722,1.569
140,MEDICINAL RESEARCH REVIEWS,MED RES REV,10.7,2.125
141,PROGRESS IN LIPID RESEARCH,PROG LIPID RES,10.667,2.733
