Rank,Full Journal Title,JCR Abbreviated Title,Journal Impact Factor,Immediacy Index
1,CA-A CANCER JOURNAL FOR CLINICIANS,CA-CANCER J CLIN,187.04,57.259
2,NEW ENGLAND JOURNAL OF MEDICINE,NEW ENGL J MED,72.406,16.637
3,NATURE REVIEWS DRUG DISCOVERY,NAT REV DRUG DISCOV,57,8.474
4,CHEMICAL REVIEWS,CHEM REV,47.928,10.509
5,LANCET,LANCET,47.831,16.303
6,NATURE REVIEWS MOLECULAR CELL BIOLOGY,NAT REV MOL CELL BIO,46.602,6.018
7,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,JAMA-J AM MED ASSOC,44.405,12.46
8,NATURE BIOTECHNOLOGY,NAT BIOTECHNOL,41.667,7.542
9,NATURE REVIEWS GENETICS,NAT REV GENET,40.282,7.52
10,NATURE,NATURE,40.137,9.129
11,NATURE REVIEWS IMMUNOLOGY,NAT REV IMMUNOL,39.932,5.722
12,NATURE MATERIALS,NAT MATER,39.737,8.331
13,Nature Nanotechnology,NAT NANOTECHNOL,38.986,8.209
14,CHEMICAL SOCIETY REVIEWS,CHEM SOC REV,38.618,7.703
15,Nature Photonics,NAT PHOTONICS,37.852,6.826
16,SCIENCE,SCIENCE,37.205,9.278
17,NATURE REVIEWS CANCER,NAT REV CANCER,37.147,5.804
18,REVIEWS OF MODERN PHYSICS,REV MOD PHYS,36.917,6.634
19,LANCET ONCOLOGY,LANCET ONCOL,33.9,7.722
20,PROGRESS IN MATERIALS SCIENCE,PROG MATER SCI,31.14,4.041
21,Annual Review of Astronomy and Astrophysics,ANNU REV ASTRON ASTR,30.733,2.333
22,CELL,CELL,30.41,6.358
23,NATURE MEDICINE,NAT MED,29.886,6.701
24,Energy & Environmental Science,ENERG ENVIRON SCI,29.518,6.751
25,Living Reviews in Relativity,LIVING REV RELATIV,29.3,40.5
26,MATERIALS SCIENCE & ENGINEERING R-REPORTS,MAT SCI ENG R,29.28,5.083
27,NATURE REVIEWS NEUROSCIENCE,NAT REV NEUROSCI,28.88,5.509
28,Annual Review of Immunology,ANNU REV IMMUNOL,28.396,5.174
29,NATURE GENETICS,NAT GENET,27.959,4.776
30,CANCER CELL,CANCER CELL,27.407,4.264
31,PHYSIOLOGICAL REVIEWS,PHYSIOL REV,27.312,4.639
32,Annual Review of Pathology-Mechanisms of Disease,ANNU REV PATHOL-MECH,26.853,2.609
33,NATURE REVIEWS MICROBIOLOGY,NAT REV MICROBIOL,26.819,6.685
34,World Psychiatry,WORLD PSYCHIATRY,26.561,4.095
34,World Psychiatry,WORLD PSYCHIATRY,26.561,4.095
36,LANCET NEUROLOGY,LANCET NEUROL,26.284,5.516
37,Nature Chemistry,NAT CHEM,25.87,6.75
38,PROGRESS IN POLYMER SCIENCE,PROG POLYM SCI,25.766,5.091
39,NATURE METHODS,NAT METHODS,25.062,4.672
40,JOURNAL OF CLINICAL ONCOLOGY,J CLIN ONCOL,24.008,7.78
41,Cell Stem Cell,CELL STEM CELL,23.394,7.425
42,IMMUNITY,IMMUNITY,22.845,4.036
43,Annual Review of Plant Biology,ANNU REV PLANT BIOL,22.808,4.071
44,Nature Physics,NAT PHYS,22.806,6.542
45,ADVANCES IN PHYSICS,ADV PHYS,21.818,7.5
46,Materials Today,MATER TODAY,21.695,3.548
47,NATURE IMMUNOLOGY,NAT IMMUNOL,21.506,5.89
48,BMJ-British Medical Journal,BMJ-BRIT MED J,20.785,11.449
49,Nature Reviews Clinical Oncology,NAT REV CLIN ONCOL,20.693,6.571
50,ACCOUNTS OF CHEMICAL RESEARCH,ACCOUNTS CHEM RES,20.268,3.829
51,Nature Reviews Neurology,NAT REV NEUROL,20.257,3.604
52,EUROPEAN HEART JOURNAL,EUR HEART J,20.212,9.172
53,NATURE CELL BIOLOGY,NAT CELL BIOL,20.06,3.829
54,Cancer Discovery,CANCER DISCOV,20.011,6.134
55,CLINICAL MICROBIOLOGY REVIEWS,CLIN MICROBIOL REV,19.958,5.471
56,Annual Review of Psychology,ANNU REV PSYCHOL,19.95,4.931
56,Annual Review of Psychology,ANNU REV PSYCHOL,19.95,4.931
58,Annual Review of Biochemistry,ANNU REV BIOCHEM,19.939,3.333
59,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,J AM COLL CARDIOL,19.896,4.285
60,LANCET INFECTIOUS DISEASES,LANCET INFECT DIS,19.864,16.363
61,ADVANCED MATERIALS,ADV MATER,19.791,3.998
62,Lancet Diabetes & Endocrinology,LANCET DIABETES ENDO,19.742,5.985
63,CIRCULATION,CIRCULATION,19.309,4.452
64,Nature Climate Change,NAT CLIM CHANGE,19.304,4.436
64,Nature Climate Change,NAT CLIM CHANGE,19.304,4.436
66,Lancet Respiratory Medicine,LANCET RESP MED,19.287,6.781
67,Annual Review of Condensed Matter Physics,ANNU REV CONDEN MA P,18.588,5.812
68,GASTROENTEROLOGY,GASTROENTEROLOGY,18.392,5.389
69,Nature Reviews Endocrinology,NAT REV ENDOCRINOL,18.318,4.24
70,Cell Metabolism,CELL METAB,18.164,4.981
71,PHARMACOLOGICAL REVIEWS,PHARMACOL REV,17.893,4.808
72,NATURE NEUROSCIENCE,NAT NEUROSCI,17.839,4.586
73,Advances in Optics and Photonics,ADV OPT PHOTONICS,17.833,2.385
74,Lancet Global Health,LANCET GLOB HEALTH,17.686,4.015
74,Lancet Global Health,LANCET GLOB HEALTH,17.686,4.015
76,Nano Today,NANO TODAY,17.476,1.244
77,PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,PHYS REP,17.425,5.635
78,PROGRESS IN ENERGY AND COMBUSTION SCIENCE,PROG ENERG COMBUST,17.382,5.625
79,ANNALS OF INTERNAL MEDICINE,ANN INTERN MED,17.202,6.059
80,IEEE Communications Surveys and Tutorials,IEEE COMMUN SURV TUT,17.188,2.446
81,PSYCHOLOGICAL BULLETIN,PSYCHOL BULL,16.793,1.864
81,PSYCHOLOGICAL BULLETIN,PSYCHOL BULL,16.793,1.864
83,Science Translational Medicine,SCI TRANSL MED,16.761,3.176
84,Advanced Energy Materials,ADV ENERGY MATER,16.721,4.327
85,GUT,GUT,16.658,5.218
86,TRENDS IN BIOCHEMICAL SCIENCES,TRENDS BIOCHEM SCI,16.63,3.554
87,JAMA Oncology,JAMA ONCOL,16.559,5.61
88,JAMA Internal Medicine,JAMA INTERN MED,16.538,5.906
89,PSYCHOLOGICAL INQUIRY,PSYCHOL INQ,16.455,2.333
90,EUROPEAN UROLOGY,EUR UROL,16.265,5.322
91,ENDOCRINE REVIEWS,ENDOCR REV,15.745,1.857
92,Annual Review of Neuroscience,ANNU REV NEUROSCI,15.63,1.474
93,CELL RESEARCH,CELL RES,15.606,3.96
94,TRENDS IN COGNITIVE SCIENCES,TRENDS COGN SCI,15.402,3.265
