Rank,Full Journal Title,JCR Abbreviated Title,Journal Impact Factor,Immediacy Index
1,CA-A CANCER JOURNAL FOR CLINICIANS,CA-CANCER J CLIN,137.578,46.423
2,NEW ENGLAND JOURNAL OF MEDICINE,NEW ENGL J MED,59.558,20.012
3,NATURE REVIEWS DRUG DISCOVERY,NAT REV DRUG DISCOV,47.12,8.475
4,LANCET,LANCET,44.002,13.21
5,NATURE BIOTECHNOLOGY,NAT BIOTECHNOL,43.113,8.947
6,NATURE REVIEWS IMMUNOLOGY,NAT REV IMMUNOL,39.416,5.517
7,NATURE MATERIALS,NAT MATER,38.891,8.565
8,NATURE REVIEWS MOLECULAR CELL BIOLOGY,NAT REV MOL CELL BIO,38.602,4.915
9,NATURE,NATURE,38.138,9.518
10,Annual Review of Astronomy and Astrophysics,ANNU REV ASTRON ASTR,37.846,2.875
11,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,JAMA-J AM MED ASSOC,37.684,9.497
12,CHEMICAL REVIEWS,CHEM REV,37.369,8.87
13,NATURE REVIEWS GENETICS,NAT REV GENET,35.898,6.431
14,Annual Review of Immunology,ANNU REV IMMUNOL,35.543,5.154
15,Nature Nanotechnology,NAT NANOTECHNOL,35.267,7.914
16,SCIENCE,SCIENCE,34.661,8.961
17,NATURE REVIEWS CANCER,NAT REV CANCER,34.244,4.927
18,CHEMICAL SOCIETY REVIEWS,CHEM SOC REV,34.09,9.592
19,REVIEWS OF MODERN PHYSICS,REV MOD PHYS,33.177,6.474
20,Living Reviews in Relativity,LIVING REV RELATIV,32,1.667
21,NATURE GENETICS,NAT GENET,31.616,6.267
22,Nature Photonics,NAT PHOTONICS,31.167,8.77
23,PROGRESS IN MATERIALS SCIENCE,PROG MATER SCI,31.083,4.593
24,PHYSIOLOGICAL REVIEWS,PHYSIOL REV,30.924,3.242
25,NATURE MEDICINE,NAT MED,30.357,5.994
26,NATURE REVIEWS NEUROSCIENCE,NAT REV NEUROSCI,29.298,5.603
27,CELL,CELL,28.71,6.151
28,Nature Chemistry,NAT CHEM,27.893,5.942
29,PROGRESS IN POLYMER SCIENCE,PROG POLYM SCI,27.184,4
30,LANCET ONCOLOGY,LANCET ONCOL,26.509,8.17
31,Energy & Environmental Science,ENERG ENVIRON SCI,25.427,6.142
32,NATURE METHODS,NAT METHODS,25.328,5.257
33,NATURE REVIEWS MICROBIOLOGY,NAT REV MICROBIOL,24.727,4.033
