Rank,Full Journal Title,JCR Abbreviated Title,Journal Impact Factor,Immediacy Index
1,CA-A CANCER JOURNAL FOR CLINICIANS,CA-CANCER J CLIN,74.575,24.684
2,NEW ENGLAND JOURNAL OF MEDICINE,NEW ENGL J MED,50.017,12.225
3,ANNUAL REVIEW OF IMMUNOLOGY,ANNU REV IMMUNOL,41.059,7.625
4,NATURE REVIEWS MOLECULAR CELL BIOLOGY,NAT REV MOL CELL BIO,35.423,7.238
5,PHYSIOLOGICAL REVIEWS,PHYSIOL REV,35,4.3
6,REVIEWS OF MODERN PHYSICS,REV MOD PHYS,33.985,7.028
7,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,JAMA-J AM MED ASSOC,31.718,7.556
8,NATURE,NATURE,31.434,8.194
9,CELL,CELL,31.253,6.126
10,NATURE REVIEWS CANCER,NAT REV CANCER,30.762,4.9
11,NATURE GENETICS,NAT GENET,30.259,8.549
12,ANNUAL REVIEW OF BIOCHEMISTRY,ANNU REV BIOCHEM,30.016,3.677
13,NATURE REVIEWS IMMUNOLOGY,NAT REV IMMUNOL,30.006,5.361
14,NATURE REVIEWS DRUG DISCOVERY,NAT REV DRUG DISCOV,28.69,4.726
15,LANCET,LANCET,28.409,8.505
16,SCIENCE,SCIENCE,28.103,6.261
17,NATURE MEDICINE,NAT MED,27.553,5.546
18,ANNUAL REVIEW OF NEUROSCIENCE,ANNU REV NEUROSCI,26.405,3.348
19,NATURE REVIEWS NEUROSCIENCE,NAT REV NEUROSCI,25.94,4.859
20,ANNUAL REVIEW OF ASTRONOMY AND ASTROPHYSICS,ANNU REV ASTRON ASTR,25.826,0.692
21,NATURE IMMUNOLOGY,NAT IMMUNOL,25.113,5.797
22,Nature Photonics,NAT PHOTONICS,24.982,4.608
23,CANCER CELL,CANCER CELL,24.962,5.359
24,NATURE REVIEWS GENETICS,NAT REV GENET,24.185,6.377
25,CHEMICAL REVIEWS,CHEM REV,23.592,3.635
26,NATURE MATERIALS,NAT MATER,23.132,5.326
27,ANNUAL REVIEW OF CELL AND DEVELOPMENTAL BIOLOGY,ANNU REV CELL DEV BI,22.731,1.167
28,NATURE BIOTECHNOLOGY,NAT BIOTECHNOL,22.297,7.73
29,ANNUAL REVIEW OF PLANT BIOLOGY,ANNU REV PLANT BIOL,22.192,3.833
30,PHARMACOLOGICAL REVIEWS,PHARMACOL REV,21.936,2.444
31,ANNUAL REVIEW OF PHARMACOLOGY AND TOXICOLOGY,ANNU REV PHARMACOL,21.561,6.783
32,IMMUNITY,IMMUNITY,20.579,5.007
33,Nature Nanotechnology,NAT NANOTECHNOL,20.571,5.097
34,ANNUAL REVIEW OF PHYSIOLOGY,ANNU REV PHYSIOL,19.74,3.957
35,ENDOCRINE REVIEWS,ENDOCR REV,18.562,3.361
36,PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,PHYS REP,18.522,3.959
37,PROGRESS IN MATERIALS SCIENCE,PROG MATER SCI,18.132,1.929
38,NATURE CELL BIOLOGY,NAT CELL BIOL,17.774,5.145
39,ANNALS OF INTERNAL MEDICINE,ANN INTERN MED,17.457,4.574
40,CHEMICAL SOCIETY REVIEWS,CHEM SOC REV,17.419,3.668
41,JOURNAL OF CLINICAL ONCOLOGY,J CLIN ONCOL,17.157,4.294
42,ANNUAL REVIEW OF BIOPHYSICS AND BIOMOLECULAR STRUCTURE,ANNU REV BIOPH BIOM,17.049,Not Available
43,MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS,MICROBIOL MOL BIOL R,16.95,1.241
44,Cell Stem Cell,CELL STEM CELL,16.826,4.76
45,Nature Physics,NAT PHYS,16.821,4.793
