Rank,Full Journal Title,JCR Abbreviated Title,Journal Impact Factor,Immediacy Index
1,CA-A CANCER JOURNAL FOR CLINICIANS,CA-CANCER J CLIN,144.8,35.923
2,NEW ENGLAND JOURNAL OF MEDICINE,NEW ENGL J MED,55.873,13.844
3,CHEMICAL REVIEWS,CHEM REV,46.568,7.381
4,LANCET,LANCET,45.217,12.967
5,NATURE REVIEWS DRUG DISCOVERY,NAT REV DRUG DISCOV,41.908,8.462
6,NATURE BIOTECHNOLOGY,NAT BIOTECHNOL,41.514,7.784
7,NATURE,NATURE,41.456,9.585
8,Annual Review of Immunology,ANNU REV IMMUNOL,39.327,5.636
9,NATURE REVIEWS MOLECULAR CELL BIOLOGY,NAT REV MOL CELL BIO,37.806,7.797
10,NATURE REVIEWS CANCER,NAT REV CANCER,37.4,4.377
11,NATURE REVIEWS GENETICS,NAT REV GENET,36.978,7.864
12,NATURE MATERIALS,NAT MATER,36.503,7.242
13,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,JAMA-J AM MED ASSOC,35.289,10.189
14,NATURE REVIEWS IMMUNOLOGY,NAT REV IMMUNOL,34.985,5.783
15,Nature Nanotechnology,NAT NANOTECHNOL,34.048,6.894
16,SCIENCE,SCIENCE,33.611,7.221
17,CHEMICAL SOCIETY REVIEWS,CHEM SOC REV,33.383,7.597
18,Annual Review of Astronomy and Astrophysics,ANNU REV ASTRON ASTR,33.346,4.929
19,Nature Photonics,NAT PHOTONICS,32.386,7.208
20,CELL,CELL,32.242,5.931
21,NATURE METHODS,NAT METHODS,32.072,5.372
22,NATURE REVIEWS NEUROSCIENCE,NAT REV NEUROSCI,31.427,3.712
23,Annual Review of Biochemistry,ANNU REV BIOCHEM,30.283,4.129
24,REVIEWS OF MODERN PHYSICS,REV MOD PHYS,29.604,7
25,NATURE GENETICS,NAT GENET,29.352,5.938
26,NATURE MEDICINE,NAT MED,28.223,5.935
27,PROGRESS IN MATERIALS SCIENCE,PROG MATER SCI,27.417,8.087
28,PHYSIOLOGICAL REVIEWS,PHYSIOL REV,27.324,4.935
29,PROGRESS IN POLYMER SCIENCE,PROG POLYM SCI,26.932,4.922
30,Nature Chemistry,NAT CHEM,25.325,6.707
31,LANCET ONCOLOGY,LANCET ONCOL,24.69,6.243
32,NATURE REVIEWS MICROBIOLOGY,NAT REV MICROBIOL,23.574,4.791
33,CANCER CELL,CANCER CELL,23.523,4.707
34,Annual Review of Plant Biology,ANNU REV PLANT BIOL,23.3,4.5
35,LANCET INFECTIOUS DISEASES,LANCET INFECT DIS,22.433,5.673
36,ACCOUNTS OF CHEMICAL RESEARCH,ACCOUNTS CHEM RES,22.323,4.422
37,Cell Stem Cell,CELL STEM CELL,22.268,6.143
38,TRENDS IN COGNITIVE SCIENCES,TRENDS COGN SCI,21.965,3.15
38,TRENDS IN COGNITIVE SCIENCES,TRENDS COGN SCI,21.965,3.15
40,LANCET NEUROLOGY,LANCET NEUROL,21.896,4.914
41,Annual Review of Psychology,ANNU REV PSYCHOL,21.81,4.037
41,Annual Review of Psychology,ANNU REV PSYCHOL,21.81,4.037
43,IMMUNITY,IMMUNITY,21.561,5.007
44,ENDOCRINE REVIEWS,ENDOCR REV,21.059,2.375
45,ADVANCES IN PHYSICS,ADV PHYS,20.833,4
46,BEHAVIORAL AND BRAIN SCIENCES,BEHAV BRAIN SCI,20.771,2.75
46,BEHAVIORAL AND BRAIN SCIENCES,BEHAV BRAIN SCI,20.771,2.75
48,Energy & Environmental Science,ENERG ENVIRON SCI,20.523,6.11
49,Nature Physics,NAT PHYS,20.147,5
50,PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,PHYS REP,20.033,3.917
51,NATURE IMMUNOLOGY,NAT IMMUNOL,20.004,4.322
52,NATURE CELL BIOLOGY,NAT CELL BIOL,19.679,4.812
53,Cancer Discovery,CANCER DISCOV,19.453,5.761
54,Annual Review of Neuroscience,ANNU REV NEUROSCI,19.32,1.32
55,Living Reviews in Relativity,LIVING REV RELATIV,19.25,11.714
56,PROGRESS IN ENERGY AND COMBUSTION SCIENCE,PROG ENERG COMBUST,19.22,2.059
57,Annual Review of Pathology-Mechanisms of Disease,ANNU REV PATHOL-MECH,18.75,8.667
58,Annual Review of Physiology,ANNU REV PHYSIOL,18.51,3.926
59,JOURNAL OF CLINICAL ONCOLOGY,J CLIN ONCOL,18.443,5.496
60,Annual Review of Pharmacology and Toxicology,ANNU REV PHARMACOL,18.365,5.5
61,ANNALS OF INTERNAL MEDICINE,ANN INTERN MED,17.81,5.134
62,ASTRONOMY AND ASTROPHYSICS REVIEW,ASTRON ASTROPHYS REV,17.737,0.5
63,Living Reviews in Solar Physics,LIVING REV SOL PHYS,17.636,1.25
64,Cell Metabolism,CELL METAB,17.565,3.629
65,ADVANCED MATERIALS,ADV MATER,17.493,3.441
66,BMJ-British Medical Journal,BMJ-BRIT MED J,17.445,10.349
67,CLINICAL MICROBIOLOGY REVIEWS,CLIN MICROBIOL REV,17.406,2.154
68,ARCHIVES OF INTERNAL MEDICINE,ARCH INTERN MED,17.333,Not Available
69,PHARMACOLOGICAL REVIEWS,PHARMACOL REV,17.099,4.5
70,ALDRICHIMICA ACTA,ALDRICHIM ACTA,17.083,1
71,REPORTS ON PROGRESS IN PHYSICS,REP PROG PHYS,17.062,2.211
72,Advances in Anatomy Embryology and Cell Biology,ADV ANAT EMBRYOL CEL,17,1.385
73,Annual Review of Physical Chemistry,ANNU REV PHYS CHEM,16.842,2.667
74,Psychological Science in the Public Interest,PSYCHOL SCI PUBL INT,16.833,0.5
75,GASTROENTEROLOGY,GASTROENTEROLOGY,16.716,5.669
76,Annual Review of Cell and Developmental Biology,ANNU REV CELL DEV BI,16.66,0.481
77,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,J AM COLL CARDIOL,16.503,4.67
78,TRENDS IN ECOLOGY & EVOLUTION,TRENDS ECOL EVOL,16.196,3.243
79,Advanced Energy Materials,ADV ENERGY MATER,16.146,3.266
80,NATURE NEUROSCIENCE,NAT NEUROSCI,16.095,4.276
81,JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS,J PHOTOCH PHOTOBIO C,16.091,2.2
82,Science Translational Medicine,SCI TRANSL MED,15.843,3.543
83,Annual Review of Genetics,ANNU REV GENET,15.724,0.16
84,MATERIALS SCIENCE & ENGINEERING R-REPORTS,MAT SCI ENG R,15.5,6.917
85,Annual Review of Biophysics,ANNU REV BIOPHYS,15.436,1.526
86,Nature Reviews Neurology,NAT REV NEUROL,15.358,3.038
87,EUROPEAN HEART JOURNAL,EUR HEART J,15.203,3.889
88,CIRCULATION,CIRCULATION,15.073,4.508
89,NEURON,NEURON,15.054,3.221
90,ADVANCED DRUG DELIVERY REVIEWS,ADV DRUG DELIVER REV,15.038,2.164
91,Nano Today,NANO TODAY,15,1.2
92,REVIEWS OF GEOPHYSICS,REV GEOPHYS,14.8,1.333
93,Annual Review of Condensed Matter Physics,ANNU REV CONDEN MA P,14.786,6.062
94,SURFACE SCIENCE REPORTS,SURF SCI REP,14.765,0.182
95,PSYCHOLOGICAL BULLETIN,PSYCHOL BULL,14.756,3.277
95,PSYCHOLOGICAL BULLETIN,PSYCHOL BULL,14.756,3.277
97,GUT,GUT,14.66,4.834
98,GENOME RESEARCH,GENOME RES,14.63,3.198
99,MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS,MICROBIOL MOL BIOL R,14.611,1.174
100,Light-Science & Applications,LIGHT-SCI APPL,14.603,3.585
101,Nature Climate Change,NAT CLIM CHANGE,14.547,3.774
101,Nature Climate Change,NAT CLIM CHANGE,14.547,3.774
103,MOLECULAR PSYCHIATRY,MOL PSYCHIATR,14.496,3.152
104,ARCHIVES OF GENERAL PSYCHIATRY,ARCH GEN PSYCHIAT,14.48,Not Available
104,ARCHIVES OF GENERAL PSYCHIATRY,ARCH GEN PSYCHIAT,14.48,Not Available
106,PLOS MEDICINE,PLOS MED,14.429,2.57
107,SYSTEMATIC BIOLOGY,SYST BIOL,14.387,2.014
108,Annual Review of Marine Science,ANNU REV MAR SCI,14.356,4.444
109,World Psychiatry,WORLD PSYCHIATRY,14.225,6.2
109,World Psychiatry,WORLD PSYCHIATRY,14.225,6.2
111,Annual Review of Biomedical Engineering,ANNU REV BIOMED ENG,14.211,1.15
112,Nature Reviews Clinical Oncology,NAT REV CLIN ONCOL,14.18,3.827
113,Materials Today,MATER TODAY,14.107,2.071
114,MOLECULAR CELL,MOL CELL,14.018,3.625
115,EUROPEAN UROLOGY,EUR UROL,13.938,4.978
116,Annual Review of Entomology,ANNU REV ENTOMOL,13.731,4.321
117,NANO LETTERS,NANO LETT,13.592,2.552
118,TRENDS IN NEUROSCIENCES,TRENDS NEUROSCI,13.555,2.441
119,NATURE STRUCTURAL & MOLECULAR BIOLOGY,NAT STRUCT MOL BIOL,13.309,3.424
120,Nature Reviews Endocrinology,NAT REV ENDOCRINOL,13.281,3.436
121,JOURNAL OF CLINICAL INVESTIGATION,J CLIN INVEST,13.262,2.517
122,STUDIES IN MYCOLOGY,STUD MYCOL,13.25,1.769
123,FEMS MICROBIOLOGY REVIEWS,FEMS MICROBIOL REV,13.244,1.933
124,JAMA Internal Medicine,JAMA INTERN MED,13.116,4.214
125,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,AM J RESP CRIT CARE,12.996,3.056
125,Nature Chemical Biology,NAT CHEM BIOL,12.996,3.545
127,TRENDS IN PLANT SCIENCE,TRENDS PLANT SCI,12.929,2.831
128,Annual Review of Medicine,ANNU REV MED,12.928,3.774
129,ACS Nano,ACS NANO,12.881,2.216
130,Annual Review of Clinical Psychology,ANNU REV CLIN PSYCHO,12.674,2.179
130,Annual Review of Clinical Psychology,ANNU REV CLIN PSYCHO,12.674,2.179
132,Nature Reviews Gastroenterology & Hepatology,NAT REV GASTRO HEPAT,12.61,2.048
133,JNCI-Journal of the National Cancer Institute,JNCI-J NATL CANCER I,12.583,2.173
134,JOURNAL OF EXPERIMENTAL MEDICINE,J EXP MED,12.515,2.351
135,CELL RESEARCH,CELL RES,12.413,4.15
136,Alzheimers & Dementia,ALZHEIMERS DEMENT,12.407,3.021
137,Cell Host & Microbe,CELL HOST MICROBE,12.328,3.148
138,AMERICAN JOURNAL OF PSYCHIATRY,AM J PSYCHIAT,12.295,3.368
138,AMERICAN JOURNAL OF PSYCHIATRY,AM J PSYCHIAT,12.295,3.368
140,COORDINATION CHEMISTRY REVIEWS,COORDIN CHEM REV,12.239,3.288
141,Annual Review of Microbiology,ANNU REV MICROBIOL,12.182,0.885
142,JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,J AM CHEM SOC,12.113,2.607
143,JAMA Psychiatry,JAMA PSYCHIAT,12.008,2.808
143,JAMA Psychiatry,JAMA PSYCHIAT,12.008,2.808
145,TRENDS IN CELL BIOLOGY,TRENDS CELL BIOL,12.007,3.037
146,TRENDS IN BIOTECHNOLOGY,TRENDS BIOTECHNOL,11.958,1.8
147,Wiley Interdisciplinary Reviews-Computational Molecular Science,WIRES COMPUT MOL SCI,11.885,6.054
148,Annual Review of Materials Research,ANNU REV MATER RES,11.854,2.278
149,BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY,B AM METEOROL SOC,11.808,1.052
150,ADVANCED FUNCTIONAL MATERIALS,ADV FUNCT MATER,11.805,2.234
151,Autophagy,AUTOPHAGY,11.753,1.748
152,Nature Geoscience,NAT GEOSCI,11.74,2.932
153,TRENDS IN PHARMACOLOGICAL SCIENCES,TRENDS PHARMACOL SCI,11.539,2.266
154,JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,J ALLERGY CLIN IMMUN,11.476,3.044
155,Nature Communications,NAT COMMUN,11.47,1.706
156,JOURNAL OF HEPATOLOGY,J HEPATOL,11.336,2.843
157,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,ANGEW CHEM INT EDIT,11.261,2.61
158,Annual Review of Nuclear and Particle Science,ANNU REV NUCL PART S,11.256,0.25
159,TRENDS IN BIOCHEMICAL SCIENCES,TRENDS BIOCHEM SCI,11.227,3.052
160,ASTROPHYSICAL JOURNAL SUPPLEMENT SERIES,ASTROPHYS J SUPPL S,11.215,3.277
161,Annual Review of Fluid Mechanics,ANNU REV FLUID MECH,11.163,5.04
162,HEPATOLOGY,HEPATOLOGY,11.055,3.052
163,CIRCULATION RESEARCH,CIRC RES,11.019,3.439
164,AMERICAN JOURNAL OF HUMAN GENETICS,AM J HUM GENET,10.931,2.02
165,Molecular Systems Biology,MOL SYST BIOL,10.872,1.438
166,GENOME BIOLOGY,GENOME BIOL,10.81,1.942
167,GENES & DEVELOPMENT,GENE DEV,10.798,1.925
168,ACTA NEUROPATHOLOGICA,ACTA NEUROPATHOL,10.762,2.5
169,AMERICAN JOURNAL OF GASTROENTEROLOGY,AM J GASTROENTEROL,10.755,1.676
170,ECOLOGY LETTERS,ECOL LETT,10.689,1.521
171,Annual Review of Ecology Evolution and Systematics,ANNU REV ECOL EVOL S,10.562,0.185
172,BLOOD,BLOOD,10.452,2.415
173,Kidney International Supplements,KIDNEY INT SUPPL,10.435,0
174,EMBO JOURNAL,EMBO J,10.434,2.657
175,LEUKEMIA,LEUKEMIA,10.431,4.226
176,TRENDS IN IMMUNOLOGY,TRENDS IMMUNOL,10.399,2.182
177,ANNALS OF THE RHEUMATIC DISEASES,ANN RHEUM DIS,10.377,4.904
178,Nano Energy,NANO ENERGY,10.325,1.611
179,BIOLOGICAL PSYCHIATRY,BIOL PSYCHIAT,10.255,2.667
180,MOLECULAR ASPECTS OF MEDICINE,MOL ASPECTS MED,10.238,1.118
181,HUMAN REPRODUCTION UPDATE,HUM REPROD UPDATE,10.165,2.967
182,IMMUNOLOGICAL REVIEWS,IMMUNOL REV,10.12,2.581
183,NPG Asia Materials,NPG ASIA MATER,10.118,1.016
184,Advances in Optics and Photonics,ADV OPT PHOTONICS,10.111,2.778
185,NATURAL PRODUCT REPORTS,NAT PROD REP,10.107,2.402
186,Lancet Global Health,LANCET GLOB HEALTH,10.042,4.354
186,Lancet Global Health,LANCET GLOB HEALTH,10.042,4.354
188,PROGRESS IN LIPID RESEARCH,PROG LIPID RES,10.015,2.5
