Rank,Full Journal Title,JCR Abbreviated Title,Journal Impact Factor,Immediacy Index
1,ANNUAL REVIEW OF IMMUNOLOGY,ANNU REV IMMUNOL,54.455,10.115
2,ANNUAL REVIEW OF BIOCHEMISTRY,ANNU REV BIOCHEM,36.278,3.929
3,CA-A CANCER JOURNAL FOR CLINICIANS,CA-CANCER J CLIN,32.886,15.647
4,NEW ENGLAND JOURNAL OF MEDICINE,NEW ENGL J MED,31.736,8.138
5,NATURE,NATURE,30.432,7.504
6,NATURE MEDICINE,NAT MED,28.74,6.912
7,NATURE IMMUNOLOGY,NAT IMMUNOL,27.868,5.933
8,CELL,CELL,27.254,5.86
9,NATURE GENETICS,NAT GENET,26.711,4.811
10,SCIENCE,SCIENCE,26.682,5.839
11,PHARMACOLOGICAL REVIEWS,PHARMACOL REV,26.568,2.522
12,PHYSIOLOGICAL REVIEWS,PHYSIOL REV,26.532,6.5
13,NATURE REVIEWS MOLECULAR CELL BIOLOGY,NAT REV MOL CELL BIO,26.17,3.459
14,ANNUAL REVIEW OF NEUROSCIENCE,ANNU REV NEUROSCI,24.091,2.053
15,NATURE REVIEWS NEUROSCIENCE,NAT REV NEUROSCI,24.047,3.116
16,REVIEWS OF MODERN PHYSICS,REV MOD PHYS,23.672,6.562
17,ANNUAL REVIEW OF CELL AND DEVELOPMENTAL BIOLOGY,ANNU REV CELL DEV BI,22.87,0.792
18,NATURE REVIEWS GENETICS,NAT REV GENET,21.762,2.675
19,ENDOCRINE REVIEWS,ENDOCR REV,21.643,1.4
20,CHEMICAL REVIEWS,CHEM REV,20.993,2.26
21,TRENDS IN CELL BIOLOGY,TRENDS CELL BIOL,19.88,2.577
22,ANNUAL REVIEW OF PHARMACOLOGY AND TOXICOLOGY,ANNU REV PHARMACOL,19.678,5.304
23,CURRENT OPINION IN CELL BIOLOGY,CURR OPIN CELL BIOL,19.022,2.656
24,GENES & DEVELOPMENT,GENE DEV,18.772,3.78
25,NATURE CELL BIOLOGY,NAT CELL BIOL,18.285,5.5
26,IMMUNITY,IMMUNITY,17.468,3.255
27,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,JAMA-J AM MED ASSOC,16.586,5.679
28,MOLECULAR CELL,MOL CELL,16.471,3.107
29,ANNUAL REVIEW OF BIOPHYSICS AND BIOMOLECULAR STRUCTURE,ANNU REV BIOPH BIOM,15.947,1.789
30,ANNUAL REVIEW OF PHYSIOLOGY,ANNU REV PHYSIOL,15.931,4.812
31,ACCOUNTS OF CHEMICAL RESEARCH,ACCOUNTS CHEM RES,15.901,1.35
32,JOURNAL OF EXPERIMENTAL MEDICINE,J EXP MED,15.837,3.055
33,MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS,MICROBIOL MOL BIOL R,15.69,1.926
34,ANNUAL REVIEW OF ASTRONOMY AND ASTROPHYSICS,ANNU REV ASTRON ASTR,15.581,1.25
35,TRENDS IN IMMUNOLOGY,TRENDS IMMUNOL,15.507,3.047
36,LANCET,LANCET,15.397,5.299
37,NATURE NEUROSCIENCE,NAT NEUROSCI,14.857,2.386
38,JOURNAL OF THE NATIONAL CANCER INSTITUTE,J NATL CANCER I,14.5,2.987
39,TRENDS IN NEUROSCIENCES,TRENDS NEUROSCI,14.474,1.536
