Rank,Full Journal Title,JCR Abbreviated Title,Journal Impact Factor,Immediacy Index
1,ANNUAL REVIEW OF IMMUNOLOGY,ANNU REV IMMUNOL,46.233,9.833
2,CA-A CANCER JOURNAL FOR CLINICIANS,CA-CANCER J CLIN,35.933,10.105
3,ANNUAL REVIEW OF BIOCHEMISTRY,ANNU REV BIOCHEM,31.639,5.087
4,PHYSIOLOGICAL REVIEWS,PHYSIOL REV,30.061,5.047
5,NATURE GENETICS,NAT GENET,29.6,6.904
6,CELL,CELL,29.219,5.204
7,NEW ENGLAND JOURNAL OF MEDICINE,NEW ENGL J MED,29.065,7.571
8,NATURE,NATURE,27.955,7.734
9,NATURE MEDICINE,NAT MED,27.906,6.481
10,ANNUAL REVIEW OF NEUROSCIENCE,ANNU REV NEUROSCI,27.152,3.537
11,ANNUAL REVIEW OF CELL AND DEVELOPMENTAL BIOLOGY,ANNU REV CELL DEV BI,27.106,0.304
12,ENDOCRINE REVIEWS,ENDOCR REV,26.456,1.71
13,PHARMACOLOGICAL REVIEWS,PHARMACOL REV,23.825,2.364
14,SCIENCE,SCIENCE,23.329,5.917
15,ADVANCES IN IMMUNOLOGY,ADV IMMUNOL,23.083,0.704
16,NATURE CELL BIOLOGY,NAT CELL BIOL,21.944,4.54
17,CURRENT OPINION IN CELL BIOLOGY,CURR OPIN CELL BIOL,21.568,3.228
18,CHEMICAL REVIEWS,CHEM REV,21.044,1.776
19,GENES & DEVELOPMENT,GENE DEV,20.88,3.295
20,ANNUAL REVIEW OF PHARMACOLOGY AND TOXICOLOGY,ANNU REV PHARMACOL,20.795,3.03
21,NATURE REVIEWS MOLECULAR CELL BIOLOGY,NAT REV MOL CELL BIO,20.556,3.734
22,MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS,MICROBIOL MOL BIOL R,19.179,1.423
23,IMMUNITY,IMMUNITY,18.866,2.078
24,TRENDS IN CELL BIOLOGY,TRENDS CELL BIOL,18.135,3.809
25,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,JAMA-J AM MED ASSOC,17.569,4.437
26,NATURE IMMUNOLOGY,NAT IMMUNOL,17.431,5.492
27,ANNUAL REVIEW OF PLANT PHYSIOLOGY AND PLANT MOLECULAR BIOLOGY,ANNU REV PLANT PHYS,17.372,2.138
28,BEHAVIORAL AND BRAIN SCIENCES,BEHAV BRAIN SCI,17.312,3
28,BEHAVIORAL AND BRAIN SCIENCES,BEHAV BRAIN SCI,17.312,3
30,MOLECULAR CELL,MOL CELL,16.611,3.325
31,PROGRESS IN INORGANIC CHEMISTRY,PROG INORG CHEM,16.5,0.929
32,TRENDS IN NEUROSCIENCES,TRENDS NEUROSCI,16.475,1.959
33,ATHEROSCLEROSIS SUPPLEMENTS,ATHEROSCLEROSIS SUPP,16.25,3.167
34,ADVANCES IN PHYSICS,ADV PHYS,16.2,1.111
35,NATURE NEUROSCIENCE,NAT NEUROSCI,15.668,2.684
36,JOURNAL OF EXPERIMENTAL MEDICINE,J EXP MED,15.34,2.363
37,ANNUAL REVIEW OF BIOPHYSICS AND BIOMOLECULAR STRUCTURE,ANNU REV BIOPH BIOM,15.235,1.444
38,FRONTIERS IN NEUROENDOCRINOLOGY,FRONT NEUROENDOCRIN,15,1.727
39,NATURE REVIEWS NEUROSCIENCE,NAT REV NEUROSCI,14.353,3.721
40,TRENDS IN BIOCHEMICAL SCIENCES,TRENDS BIOCHEM SCI,14.329,2.518
41,ANNUAL REVIEW OF GENETICS,ANNU REV GENET,14.31,0.115
42,JOURNAL OF THE NATIONAL CANCER INSTITUTE,J NATL CANCER I,14.24,2.727
43,NEURON,NEURON,14.153,2.949
44,JOURNAL OF CLINICAL INVESTIGATION,J CLIN INVEST,14.118,2.268
45,SURFACE SCIENCE REPORTS,SURF SCI REP,14.091,0.1
46,PROGRESS IN MATERIALS SCIENCE,PROG MATER SCI,14,1.2
47,CURRENT OPINION IN IMMUNOLOGY,CURR OPIN IMMUNOL,13.724,1.879
48,CURRENT OPINION IN GENETICS & DEVELOPMENT,CURR OPIN GENET DEV,13.619,2.122
49,LANCET,LANCET,13.251,4.251
50,GASTROENTEROLOGY,GASTROENTEROLOGY,13.02,2.915
51,JOURNAL OF CELL BIOLOGY,J CELL BIOL,12.915,2.825
52,ACCOUNTS OF CHEMICAL RESEARCH,ACCOUNTS CHEM RES,12.781,2.923
53,REVIEWS OF MODERN PHYSICS,REV MOD PHYS,12.762,3.188
54,ANNUAL REVIEW OF PHYSIOLOGY,ANNU REV PHYSIOL,12.753,3.824
55,EMBO JOURNAL,EMBO J,12.459,1.969
56,TRENDS IN GENETICS,TRENDS GENET,12.417,1.705
57,NATURE REVIEWS GENETICS,NAT REV GENET,12.333,4.106
58,IMMUNOLOGY TODAY,IMMUNOL TODAY,12.157,Not Available
59,ARCHIVES OF GENERAL PSYCHIATRY,ARCH GEN PSYCHIAT,11.981,1.87
59,ARCHIVES OF GENERAL PSYCHIATRY,ARCH GEN PSYCHIAT,11.981,1.87
61,NATURE STRUCTURAL BIOLOGY,NAT STRUCT BIOL,11.707,2.362
62,TRENDS IN COGNITIVE SCIENCES,TRENDS COGN SCI,11.606,1.298
62,TRENDS IN COGNITIVE SCIENCES,TRENDS COGN SCI,11.606,1.298
64,ANNUAL REVIEW OF MICROBIOLOGY,ANNU REV MICROBIOL,11.447,0.296
65,TRENDS IN PHARMACOLOGICAL SCIENCES,TRENDS PHARMACOL SCI,11.394,1.945
66,NATURE BIOTECHNOLOGY,NAT BIOTECHNOL,11.31,3.02
67,ADVANCES IN CANCER RESEARCH,ADV CANCER RES,11.192,0.769
68,ANNALS OF INTERNAL MEDICINE,ANN INTERN MED,11.13,2.566
69,PLANT CELL,PLANT CELL,11.081,2.237
70,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AME,P NATL ACAD SCI USA,10.896,1.959
71,CURRENT OPINION IN STRUCTURAL BIOLOGY,CURR OPIN STRUC BIOL,10.893,1.117
72,CLINICAL MICROBIOLOGY REVIEWS,CLIN MICROBIOL REV,10.652,1.429
73,AMERICAN JOURNAL OF HUMAN GENETICS,AM J HUM GENET,10.542,2.42
74,CIRCULATION,CIRCULATION,10.517,1.599
75,TRENDS IN ECOLOGY & EVOLUTION,TRENDS ECOL EVOL,10.508,2.424
76,TRENDS IN PLANT SCIENCE,TRENDS PLANT SCI,10.36,1.521
77,CURRENT OPINION IN NEUROBIOLOGY,CURR OPIN NEUROBIOL,9.995,1.116
78,PROGRESS IN NUCLEIC ACID RESEARCH AND MOLECULAR BIOLOGY,PROG NUCLEIC ACID RE,9.9,0.235
79,MOLECULAR AND CELLULAR BIOLOGY,MOL CELL BIOL,9.836,1.781
80,SOLID STATE PHYSICS-ADVANCES IN RESEARCH AND APPLICATIONS,SOLID STATE PHYS,9.667,0.714
81,BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER,BBA-REV CANCER,9.581,1.188
82,ADVANCES IN INORGANIC CHEMISTRY,ADV INORG CHEM,9.567,1.688
83,PROGRESS IN NEUROBIOLOGY,PROG NEUROBIOL,9.377,1.629
84,HUMAN MOLECULAR GENETICS,HUM MOL GENET,9.318,1.694
85,BLOOD,BLOOD,9.273,1.265
86,ANTIVIRAL THERAPY,ANTIVIR THER,9.24,1.235
87,CIRCULATION RESEARCH,CIRC RES,9.213,1.454
88,CHEMICAL SOCIETY REVIEWS,CHEM SOC REV,9.137,1.486
89,FEMS MICROBIOLOGY REVIEWS,FEMS MICROBIOL REV,9,1.36
90,REPORTS ON PROGRESS IN PHYSICS,REP PROG PHYS,8.879,0.576
91,FASEB JOURNAL,FASEB J,8.817,1.422
92,CURRENT OPINION IN PLANT BIOLOGY,CURR OPIN PLANT BIOL,8.763,1.479
93,JOURNAL OF HIGH ENERGY PHYSICS,J HIGH ENERGY PHYS,8.664,2.262
94,BRAIN PATHOLOGY,BRAIN PATHOL,8.654,1.02
95,DEVELOPMENT,DEVELOPMENT,8.624,1.571
96,GENOME RESEARCH,GENOME RES,8.559,1.758
97,BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON BIOMEMBRANES,BBA-REV BIOMEMBRANES,8.55,Not Available
98,ANNUAL REVIEW OF MEDICINE,ANNU REV MED,8.545,1.483
99,JOURNAL OF CLINICAL ONCOLOGY,J CLIN ONCOL,8.53,1.855
100,ANNALS OF NEUROLOGY,ANN NEUROL,8.481,1.541
101,CATALYSIS REVIEWS-SCIENCE AND ENGINEERING,CATAL REV,8.471,0.083
