Rank,Full Journal Title,JCR Abbreviated Title,Journal Impact Factor,Immediacy Index
1,ANNUAL REVIEW OF IMMUNOLOGY,ANNU REV IMMUNOL,52.431,6.1
2,CA-A CANCER JOURNAL FOR CLINICIANS,CA-CANCER J CLIN,44.515,Not Available
3,NEW ENGLAND JOURNAL OF MEDICINE,NEW ENGL J MED,38.57,10.478
4,NATURE REVIEWS CANCER,NAT REV CANCER,36.557,4.152
5,PHYSIOLOGICAL REVIEWS,PHYSIOL REV,33.918,4.029
6,NATURE REVIEWS MOLECULAR CELL BIOLOGY,NAT REV MOL CELL BIO,33.17,4.167
7,REVIEWS OF MODERN PHYSICS,REV MOD PHYS,32.771,5.826
8,NATURE REVIEWS IMMUNOLOGY,NAT REV IMMUNOL,32.695,3.25
9,NATURE,NATURE,32.182,6.089
10,SCIENCE,SCIENCE,31.853,7.379
11,ANNUAL REVIEW OF BIOCHEMISTRY,ANNU REV BIOCHEM,31.538,4.182
12,NATURE MEDICINE,NAT MED,31.223,5.72
13,CELL,CELL,28.389,7.632
14,NATURE IMMUNOLOGY,NAT IMMUNOL,27.586,5.4
15,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,JAMA-J AM MED ASSOC,24.831,5.499
16,NATURE GENETICS,NAT GENET,24.695,5.623
17,ANNUAL REVIEW OF NEUROSCIENCE,ANNU REV NEUROSCI,23.143,2.154
18,PHARMACOLOGICAL REVIEWS,PHARMACOL REV,22.837,1.105
19,NATURE BIOTECHNOLOGY,NAT BIOTECHNOL,22.355,4.942
20,LANCET,LANCET,21.713,5.827
21,SURFACE SCIENCE REPORTS,SURF SCI REP,21.35,1
22,NATURE REVIEWS GENETICS,NAT REV GENET,21.329,3.922
23,NATURE REVIEWS NEUROSCIENCE,NAT REV NEUROSCI,21.225,3.23
24,ANNUAL REVIEW OF PHARMACOLOGY AND TOXICOLOGY,ANNU REV PHARMACOL,21.104,5.435
25,NATURE CELL BIOLOGY,NAT CELL BIOL,20.649,4.93
26,CHEMICAL REVIEWS,CHEM REV,20.233,3.945
27,NATURE REVIEWS DRUG DISCOVERY,NAT REV DRUG DISCOV,19.583,3.449
28,ANNUAL REVIEW OF ASTRONOMY AND ASTROPHYSICS,ANNU REV ASTRON ASTR,18.839,1.8
29,ENDOCRINE REVIEWS,ENDOCR REV,18.784,2.355
30,CANCER CELL,CANCER CELL,18.122,3.351
31,ANNUAL REVIEW OF CELL AND DEVELOPMENTAL BIOLOGY,ANNU REV CELL DEV BI,17.804,0.548
32,MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS,MICROBIOL MOL BIOL R,17.037,1.606
33,NATURE NEUROSCIENCE,NAT NEUROSCI,16.98,3.079
34,MOLECULAR CELL,MOL CELL,16.811,3.188
35,ANNUAL REVIEW OF PHYSIOLOGY,ANNU REV PHYSIOL,16.672,2.379
36,GENES & DEVELOPMENT,GENE DEV,16.385,2.981
37,ANNUAL REVIEW OF PLANT BIOLOGY,ANNU REV PLANT BIOL,16.24,2.565
38,BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER,BBA-REV CANCER,16.12,0.28
39,SOLID STATE PHYSICS-ADVANCES IN RESEARCH AND APPLICATIONS,SOLID STATE PHYS,16,1
40,IMMUNITY,IMMUNITY,15.448,2.729
41,DEVELOPMENTAL CELL,DEV CELL,15.434,3.239
42,CURRENT OPINION IN CELL BIOLOGY,CURR OPIN CELL BIOL,15.422,1.809
43,ADVANCES IN PHYSICS,ADV PHYS,15.333,0.778
44,ASTROPHYSICAL JOURNAL SUPPLEMENT SERIES,ASTROPHYS J SUPPL S,15.231,2.724
45,TRENDS IN NEUROSCIENCES,TRENDS NEUROSCI,14.794,1.564
46,PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,PHYS REP,14.742,1.704
47,TRENDS IN GENETICS,TRENDS GENET,14.643,2.179
48,JOURNAL OF EXPERIMENTAL MEDICINE,J EXP MED,14.588,2.436
49,NEURON,NEURON,14.439,2.672
50,TRENDS IN CELL BIOLOGY,TRENDS CELL BIOL,14.327,1.792
51,MATERIALS SCIENCE & ENGINEERING R-REPORTS,MAT SCI ENG R,14.233,0.846
52,JOURNAL OF CLINICAL INVESTIGATION,J CLIN INVEST,14.204,2.554
53,TRENDS IN BIOCHEMICAL SCIENCES,TRENDS BIOCHEM SCI,14.112,1.823
54,REVIEWS OF PHYSIOLOGY BIOCHEMISTRY AND PHARMACOLOGY,REV PHYSIOL BIOCH P,13.929,1.182
55,PLOS BIOLOGY,PLOS BIOL,13.868,2.704
56,JOURNAL OF THE NATIONAL CANCER INSTITUTE,J NATL CANCER I,13.856,3.031
